match_duration, first_dragon, first_baron, first_inhibitor, first_rift_herald, first_blood, bteam_baron_kills, bteam_dragon_kills, bteam_inhibitor_kills, bteam_rift_kills, bteam_tower_kills,bteam_largest_killing_spree, bteam_largest_multi_kill, bteam_highest_champ_lvl, bteam_best_kda, bteam_total_kills, bteam_total_assists, bteam_total_gold_earned, bteam_total_gold_spent, bteam_vision_score, bteam_wards_placed, bteam_wards_killed, bteam_total_minions_killed, bteam_total_dmg_dealt, bteam_total_dmg_dealt_to_champions, bteam_total_dmg_taken, bteam_total_dmg_healed, bteam_total_dmg_self_mitigated, bteam_total_crowd_control_dealt, rteam_baron_kills, rteam_dragon_kills, rteam_inhibitor_kills, rteam_rift_kills, rteam_tower_kills, rteam_largest_killing_spree, rteam_largest_multi_kill, rteam_highest_champ_lvl, rteam_best_kda, rteam_total_kills, rteam_total_assists, rteam_total_gold_earned, rteam_total_gold_spent, rteam_vision_score, rteam_wards_placed, rteam_wards_killed, rteam_total_minions_killed, rteam_total_dmg_dealt, rteam_total_dmg_dealt_to_champions, rteam_total_dmg_taken, rteam_total_dmg_healed, rteam_total_dmg_self_mitigated, rteam_total_crowd_control_dealt, winning_team
1093,1,1,0,0,0,0,1,1,2,9,4,2,13,12.0,21,29,40635,35758,84,42,8,503,389691,38913,42046,16062,22360,382,0,1,0,0,0,3,1,11,1.3333333333333333,7,4,27216,25125,74,32,11,402,243410,27865,49309,10440,30104,401,0
1294,0,0,0,1,1,1,2,1,0,6,10,2,13,19.0,30,48,44934,35700,127,52,12,478,416738,63313,63224,23102,42271,1406,0,0,0,1,1,3,1,12,2.0,12,12,34560,32775,78,40,11,492,351017,38434,80067,15909,46335,434,0
1332,0,1,0,0,0,0,3,2,1,11,5,3,14,14.0,32,51,51250,45568,94,35,5,464,457683,72906,77054,28966,50186,957,0,0,0,0,0,3,2,13,1.8333333333333333,18,30,38225,36391,74,43,4,465,380807,52986,89677,13315,65529,1102,0
1993,1,1,1,1,0,0,3,0,0,2,3,2,16,2.5,20,28,57388,54898,218,102,38,822,753115,69997,129797,28891,103062,1532,1,2,0,1,5,7,3,17,11.5,30,52,64010,57983,242,108,43,777,753553,98406,98949,39782,90199,1345,1
1650,0,1,1,0,0,0,2,0,1,3,5,2,14,2.3333333333333335,19,26,47097,43225,172,67,29,574,510480,60503,108315,22114,82626,1144,1,1,1,0,6,6,3,16,6.666666666666667,28,68,53207,45225,169,63,26,583,550790,84921,82056,27641,65500,1491,1
1538,1,1,1,0,1,0,0,0,2,5,4,1,15,3.0,26,41,50000,48268,132,54,13,505,507860,78352,106671,25836,84742,689,1,3,1,0,7,4,2,15,4.6,38,62,54954,49640,126,51,14,495,481109,82242,109678,42763,83266,760,1
2167,0,1,1,1,0,0,3,1,0,7,6,2,18,10.5,34,47,71636,62308,222,102,32,915,1009786,117910,157313,73905,120773,2581,2,2,3,2,10,9,3,18,8.333333333333334,36,47,75284,74483,197,69,38,844,1318126,125215,144155,31275,103588,1023,0
1534,1,0,0,0,0,1,2,3,2,9,5,1,15,24.0,29,61,53314,46033,156,57,28,526,500693,69303,92770,44061,62990,1409,0,2,0,0,1,6,2,14,3.0,13,20,40972,39008,113,56,16,562,478774,66483,87692,17639,56084,502,0
1626,0,1,1,1,1,0,3,0,1,4,3,2,14,3.0,13,22,44231,41043,127,58,17,611,516468,46311,94314,25303,67937,919,1,1,1,1,8,10,3,16,14.0,22,30,53624,46691,143,64,19,658,622208,66496,75170,21906,42866,936,1
1229,1,1,1,0,0,0,1,0,1,2,2,2,12,4.5,13,22,34284,33025,88,35,11,467,330886,43242,71134,18160,41974,764,0,2,0,0,3,5,3,14,13.0,24,40,39819,34997,94,54,6,455,359518,49572,67853,31465,56790,699,1
